"","OncodriveCLUST","OncodriveFM","ActiveDriver","DriverNet","DawnRank","NetSig","CBNA","Hoang_FGF2_06True","Hoang_FGF2_07True","Hoang_HER2_06True","Hoang_HER2_07True","Hoang_VIM_06True","Hoang_VIM_07True","SC_HER2_06True","SC_HER2_07True","SC_VIM_06True","SC_VIM_07True","TP_HER2_07True"
"29","ENSG00000186432","ENSG00000141646","ENSG00000136826","ENSG00000123384","ENSG00000178999","ENSG00000151090","ENSG00000115524","ENSG00000134250","ENSG00000197081","ENSG00000064012","ENSG00000141367","ENSG00000127329","ENSG00000130396","ENSG00000111859","ENSG00000136861","ENSG00000151276","ENSG00000171132","ENSG00000134250"
"30","ENSG00000188342","ENSG00000040199","ENSG00000106823","ENSG00000077522","ENSG00000096996","ENSG00000111816","ENSG00000136068","ENSG00000139687","ENSG00000118058","ENSG00000134250","ENSG00000197694","ENSG00000196367","ENSG00000118058","ENSG00000197535","ENSG00000102081","ENSG00000137497","ENSG00000179094","ENSG00000154928"
"31","ENSG00000197471","ENSG00000105357","ENSG00000118058","ENSG00000197385","ENSG00000138798","ENSG00000198176","ENSG00000162105","ENSG00000078328","ENSG00000141367","ENSG00000007314","ENSG00000118058","ENSG00000161681","ENSG00000142949","ENSG00000127616","ENSG00000110713","ENSG00000109670","ENSG00000077782","ENSG00000138162"
"32","ENSG00000198860","ENSG00000185650","ENSG00000240563","ENSG00000165124","ENSG00000111206","ENSG00000073756","ENSG00000170004","ENSG00000137474","ENSG00000142949","ENSG00000130396","ENSG00000137076","ENSG00000001626","ENSG00000141367","ENSG00000008710","ENSG00000114423","ENSG00000136068","ENSG00000108821","ENSG00000001626"
"33","ENSG00000220205","ENSG00000206560","ENSG00000122729","ENSG00000196739","ENSG00000185920","ENSG00000125508","ENSG00000142798","ENSG00000008710","ENSG00000137076","ENSG00000018236","ENSG00000197081","ENSG00000134250","ENSG00000137076","ENSG00000109670","ENSG00000112851","ENSG00000110713","ENSG00000150991","ENSG00000139687"
"34","ENSG00000005882","ENSG00000123124","ENSG00000090615","ENSG00000144810","ENSG00000164692","ENSG00000065717","ENSG00000196569","ENSG00000064012","ENSG00000130396","ENSG00000142949","ENSG00000080345","ENSG00000139687","ENSG00000198646","ENSG00000181191","ENSG00000154556","ENSG00000198373","ENSG00000073614","ENSG00000110799"
"35","ENSG00000035499","ENSG00000111276","ENSG00000135387","ENSG00000066032","ENSG00000132470","ENSG00000127334","ENSG00000163629","ENSG00000001626","ENSG00000197694","ENSG00000141367","ENSG00000079102","ENSG00000137474","ENSG00000197694","ENSG00000160294","ENSG00000070061","ENSG00000160294","ENSG00000102103","ENSG00000142949"
"36","ENSG00000102882","ENSG00000221978","ENSG00000053918","ENSG00000188153","ENSG00000095015","ENSG00000060140","ENSG00000143379","ENSG00000197081","ENSG00000198646","ENSG00000197694","ENSG00000178568","ENSG00000018236","ENSG00000079102","ENSG00000107554","ENSG00000124181","ENSG00000154556","ENSG00000205726","ENSG00000197386"
"37","ENSG00000106404","ENSG00000197694","ENSG00000170456","ENSG00000166501","ENSG00000163808","ENSG00000159216","ENSG00000197694","ENSG00000100503","ENSG00000079102","ENSG00000118058","ENSG00000029534","ENSG00000198734","ENSG00000029534","ENSG00000197442","ENSG00000126883","ENSG00000100852","ENSG00000157404","ENSG00000005339"
"38","ENSG00000111880","ENSG00000130396","ENSG00000167880","ENSG00000196569","ENSG00000100385","ENSG00000168067","ENSG00000137076","ENSG00000007314","ENSG00000110799","ENSG00000137076","ENSG00000146648","ENSG00000038427","ENSG00000081052","ENSG00000100852","ENSG00000162231","ENSG00000136861","ENSG00000113595","ENSG00000198646"
"39","ENSG00000112029","ENSG00000115524","ENSG00000171444","ENSG00000143126","ENSG00000169047","ENSG00000157500","ENSG00000111676","ENSG00000118058","ENSG00000146648","ENSG00000197081","ENSG00000110799","ENSG00000007314","ENSG00000146648","ENSG00000136861","ENSG00000104067","ENSG00000106571","ENSG00000165392","ENSG00000112769"
"40","ENSG00000131724","ENSG00000100288","ENSG00000104517","ENSG00000095015","ENSG00000113263","ENSG00000149091","ENSG00000114423","ENSG00000141367","ENSG00000196083","ENSG00000167522","ENSG00000081052","ENSG00000100503","ENSG00000077522","ENSG00000102081","ENSG00000151461","ENSG00000177189","ENSG00000135316","ENSG00000161681"
"41","ENSG00000141480","ENSG00000101972","ENSG00000036828","ENSG00000146648","ENSG00000140396","ENSG00000132522","ENSG00000005339","ENSG00000142949","ENSG00000065534","ENSG00000080345","ENSG00000114127","ENSG00000130396","ENSG00000273079","ENSG00000110713","ENSG00000108821","ENSG00000070061","ENSG00000115310","ENSG00000128591"
"42","ENSG00000144895","ENSG00000141027","ENSG00000082805","ENSG00000111799","ENSG00000171189","ENSG00000106789","ENSG00000075711","ENSG00000137076","ENSG00000082898","ENSG00000198734","ENSG00000151276","ENSG00000118058","ENSG00000160255","ENSG00000114423","ENSG00000171132","ENSG00000153187","ENSG00000082641","ENSG00000107186"
"43","ENSG00000147677","ENSG00000150990","ENSG00000162702","ENSG00000197479","ENSG00000163513","ENSG00000050748","ENSG00000144554","ENSG00000130396","ENSG00000225830","ENSG00000079102","ENSG00000203710","ENSG00000141367","ENSG00000134982","ENSG00000112851","ENSG00000077782","ENSG00000137203","ENSG00000102606","ENSG00000082898"
"44","ENSG00000152684","ENSG00000065243","ENSG00000121892","ENSG00000083857","ENSG00000142156","ENSG00000130758","ENSG00000150995","ENSG00000167522","ENSG00000081052","ENSG00000107485","ENSG00000196083","ENSG00000197694","ENSG00000065534","ENSG00000080345","ENSG00000073614","ENSG00000137574","ENSG00000179222","ENSG00000273079"
"45","ENSG00000159176","ENSG00000136720","ENSG00000020426","ENSG00000254245","ENSG00000060718","ENSG00000154447","ENSG00000000971","ENSG00000197694","ENSG00000203710","ENSG00000197565","ENSG00000225830","ENSG00000167522","ENSG00000136869","ENSG00000154556","ENSG00000169057","ENSG00000081237","ENSG00000143514","ENSG00000188153"
"46","ENSG00000161526","ENSG00000153234","ENSG00000136830","ENSG00000204262","ENSG00000177606","ENSG00000109339","ENSG00000100393","ENSG00000198646","ENSG00000148053","ENSG00000178568","ENSG00000077522","ENSG00000137076","ENSG00000110799","ENSG00000070061","ENSG00000100280","ENSG00000163781","ENSG00000114107","ENSG00000150995"
"47","ENSG00000167005","ENSG00000101745","ENSG00000164151","ENSG00000074047","ENSG00000134853","ENSG00000014257","ENSG00000197386","ENSG00000198793","ENSG00000131626","ENSG00000029534","ENSG00000065534","ENSG00000198646","ENSG00000114127","ENSG00000182621","ENSG00000154380","ENSG00000196235","ENSG00000131711","ENSG00000131626"
"48","ENSG00000167815","ENSG00000136731","ENSG00000092148","ENSG00000198838","ENSG00000134057","ENSG00000163848","ENSG00000198646","ENSG00000079102","ENSG00000137497","ENSG00000146648","ENSG00000273079","ENSG00000142949","ENSG00000198399","ENSG00000124181","ENSG00000150991","ENSG00000129675","ENSG00000182568","ENSG00000067369"
"49","ENSG00000170035","ENSG00000147274","ENSG00000160299","ENSG00000112852","ENSG00000182866","ENSG00000142208","ENSG00000110713","ENSG00000198734","ENSG00000108654","ENSG00000110799","ENSG00000198910","ENSG00000080345","ENSG00000151276","ENSG00000126883","ENSG00000136111","ENSG00000077782","ENSG00000104365","ENSG00000204842"
"50","ENSG00000179085","ENSG00000054267","ENSG00000111642","ENSG00000115085","ENSG00000081237","ENSG00000070831","ENSG00000153201","ENSG00000110799","ENSG00000132849","ENSG00000081052","ENSG00000148053","ENSG00000197081","ENSG00000085511","ENSG00000162231","ENSG00000064393","ENSG00000179094","ENSG00000171105","ENSG00000012048"
"51","ENSG00000188033","ENSG00000167792","ENSG00000204186","ENSG00000170345","ENSG00000115415","ENSG00000214827","ENSG00000163781","ENSG00000146648","ENSG00000147133","ENSG00000114127","ENSG00000107186","ENSG00000079102","ENSG00000082898","ENSG00000104067","ENSG00000205726","ENSG00000077235","ENSG00000105397","ENSG00000185008"
"52","ENSG00000213523","ENSG00000100796","ENSG00000168488","ENSG00000204956","ENSG00000137812","ENSG00000182712","ENSG00000102804","ENSG00000197565","ENSG00000100393","ENSG00000151276","ENSG00000112818","ENSG00000029534","ENSG00000148053","ENSG00000071054","ENSG00000183765","ENSG00000108821","ENSG00000169375","ENSG00000146648"
"53","ENSG00000163702","ENSG00000115750","ENSG00000021826","ENSG00000177606","ENSG00000160654","ENSG00000169047","ENSG00000150991","ENSG00000196083","ENSG00000067369","ENSG00000203710","ENSG00000132849","ENSG00000081052","ENSG00000112818","ENSG00000137574","ENSG00000140443","ENSG00000140396","ENSG00000198561","ENSG00000100393"
"54","ENSG00000236104","ENSG00000149930","ENSG00000132938","ENSG00000178568","ENSG00000143632","ENSG00000105639","ENSG00000196914","ENSG00000065534","ENSG00000149311","ENSG00000196083","ENSG00000170776","ENSG00000197565","ENSG00000149311","ENSG00000151461","ENSG00000082641","ENSG00000143799","ENSG00000115053","ENSG00000172534"
"55","ENSG00000095397","ENSG00000155380","ENSG00000072195","ENSG00000198185","ENSG00000148848","ENSG00000166333","ENSG00000175054","ENSG00000173898","ENSG00000154380","ENSG00000225830","ENSG00000124151","ENSG00000146648","ENSG00000100393","ENSG00000108821","ENSG00000180182","ENSG00000108654","ENSG00000147044","ENSG00000169031"
"56","ENSG00000102100","ENSG00000136381","ENSG00000065613","ENSG00000213973","ENSG00000172116","ENSG00000123358","ENSG00000064012","ENSG00000082898","ENSG00000107186","ENSG00000077522","ENSG00000112851","ENSG00000225830","ENSG00000067369","ENSG00000171132","ENSG00000135829","ENSG00000067900","ENSG00000085832","ENSG00000101868"
"57","ENSG00000108960","ENSG00000137699","ENSG00000124151","ENSG00000106571","ENSG00000138722","ENSG00000106992","ENSG00000112851","ENSG00000225830","ENSG00000183454","ENSG00000065534","ENSG00000131626","ENSG00000273079","ENSG00000131626","ENSG00000077782","ENSG00000135316","ENSG00000073614","ENSG00000105851","ENSG00000178568"
"58","ENSG00000115289","ENSG00000197183","ENSG00000104722","ENSG00000105639","ENSG00000132170","ENSG00000101213","ENSG00000115414","ENSG00000081052","ENSG00000149970","ENSG00000273079","ENSG00000154380","ENSG00000077522","ENSG00000108654","ENSG00000073614","ENSG00000173473","ENSG00000196482","ENSG00000168918","ENSG00000141367"
"59","ENSG00000135632","ENSG00000005379","ENSG00000082438","ENSG00000272674","ENSG00000156970","ENSG00000113240","ENSG00000087460","ENSG00000203710","ENSG00000169946","ENSG00000174469","ENSG00000149311","ENSG00000160255","ENSG00000134954","ENSG00000169057","ENSG00000165392","ENSG00000205726","ENSG00000127946","ENSG00000145675"
"60","ENSG00000239900","ENSG00000138041","ENSG00000005810","ENSG00000239389","ENSG00000003096","ENSG00000084234","ENSG00000197442","ENSG00000198753","ENSG00000101004","ENSG00000079841","ENSG00000100393","ENSG00000134982","ENSG00000107186","ENSG00000100280","ENSG00000124788","ENSG00000169554","ENSG00000010610","ENSG00000164692"
"61","ENSG00000101493","ENSG00000116251","ENSG00000054118","ENSG00000187955","ENSG00000154229","ENSG00000103197","ENSG00000089250","ENSG00000173482","ENSG00000012048","ENSG00000198910","ENSG00000188153","ENSG00000065534","ENSG00000188153","ENSG00000154380","ENSG00000182568","ENSG00000153071","ENSG00000109339","ENSG00000197694"
"62","ENSG00000113141","ENSG00000111670","ENSG00000101150","ENSG00000148408","ENSG00000065618","ENSG00000106462","ENSG00000142949","ENSG00000148053","ENSG00000065526","ENSG00000148053","ENSG00000182901","ENSG00000136869","ENSG00000137497","ENSG00000150991","ENSG00000104365","ENSG00000126217","ENSG00000091831","ENSG00000136869"
"63","ENSG00000114098","ENSG00000084764","ENSG00000114805","ENSG00000204961","ENSG00000058404","ENSG00000133124","ENSG00000185008","ENSG00000131626","ENSG00000198373","ENSG00000198753","ENSG00000183454","ENSG00000110799","ENSG00000112851","ENSG00000136111","ENSG00000186716","ENSG00000155506","ENSG00000067560","ENSG00000114127"
"64","ENSG00000127080","ENSG00000166415","ENSG00000088205","ENSG00000115221","ENSG00000111087","ENSG00000109062","ENSG00000165029","ENSG00000137497","ENSG00000102241","ENSG00000107186","ENSG00000169946","ENSG00000114127","ENSG00000094631","ENSG00000064393","ENSG00000065243","ENSG00000135316","ENSG00000196504","ENSG00000085511"
"65","ENSG00000130638","ENSG00000139613","ENSG00000145362","ENSG00000278318","ENSG00000065675","ENSG00000100429","ENSG00000174469","ENSG00000108654","ENSG00000204842","ENSG00000112818","ENSG00000108821","ENSG00000085511","ENSG00000132849","ENSG00000205726","ENSG00000115053","ENSG00000102804","ENSG00000169398","ENSG00000139618"
"66","ENSG00000143740","ENSG00000060339","ENSG00000133477","ENSG00000150394","ENSG00000148773","ENSG00000182511","ENSG00000187498","ENSG00000132849","ENSG00000155511","ENSG00000132849","ENSG00000012048","ENSG00000082898","ENSG00000163781","ENSG00000183765","ENSG00000130402","ENSG00000036257","ENSG00000119772","ENSG00000155511"
"67","ENSG00000163686","ENSG00000184828","ENSG00000058272","ENSG00000138378","ENSG00000108821","ENSG00000143207","ENSG00000070061","ENSG00000147133","ENSG00000065618","ENSG00000170776","ENSG00000153201","ENSG00000263528","ENSG00000170776","ENSG00000140443","ENSG00000142599","ENSG00000131711","ENSG00000139613","ENSG00000182901"
"68","ENSG00000163879","ENSG00000096968","ENSG00000114416","ENSG00000083814","ENSG00000169679","ENSG00000157557","ENSG00000162434","ENSG00000100393","ENSG00000163629","ENSG00000124151","ENSG00000158560","ENSG00000102081","ENSG00000182901","ENSG00000082641","ENSG00000169375","ENSG00000143514","ENSG00000162521","ENSG00000078328"
"69","ENSG00000171522","ENSG00000124228","ENSG00000134061","ENSG00000114124","ENSG00000134460","ENSG00000123329","ENSG00000132128","ENSG00000067369","ENSG00000150995","ENSG00000112851","ENSG00000184678","ENSG00000112818","ENSG00000169946","ENSG00000180182","ENSG00000035403","ENSG00000116016","ENSG00000051382","ENSG00000183454"
"70","ENSG00000079150","ENSG00000126432","ENSG00000164164","ENSG00000204967","ENSG00000109339","ENSG00000120210","ENSG00000118513","ENSG00000149311","ENSG00000137203","ENSG00000131626","ENSG00000155511","ENSG00000149311","ENSG00000166501","ENSG00000113522","ENSG00000196628","ENSG00000140443","ENSG00000134352","ENSG00000114270"
"71","ENSG00000087086","ENSG00000147050","ENSG00000074590","ENSG00000253485","ENSG00000135744","ENSG00000146904","ENSG00000185920","ENSG00000154380","ENSG00000115183","ENSG00000154380","ENSG00000134215","ENSG00000173482","ENSG00000108821","ENSG00000135829","ENSG00000091831","ENSG00000057657","ENSG00000156299","ENSG00000151276"
"72","ENSG00000100647","ENSG00000089234","ENSG00000095787","ENSG00000138193","ENSG00000070808","ENSG00000170484","ENSG00000132842","ENSG00000107186","ENSG00000077782","ENSG00000049759","ENSG00000089250","ENSG00000067369","ENSG00000149970","ENSG00000126217","ENSG00000108395","ENSG00000182568","ENSG00000160803","ENSG00000096696"
"73","ENSG00000121073","ENSG00000187079","ENSG00000104067","ENSG00000179344","ENSG00000076382","ENSG00000167363","ENSG00000112182","ENSG00000147162","ENSG00000005884","ENSG00000149311","ENSG00000138162","ENSG00000174469","ENSG00000116962","ENSG00000135316","ENSG00000113263","ENSG00000104365","ENSG00000122779","ENSG00000132849"
