,Ensembl.ID,HGNC.ID,HGNC.symbol,Mut.Freq,RelEffect,AbsEffect,p
780,ENSG00000157613,HGNC:18856,CREB3L1,3,-0.533137163,-5614.015257,0.020725389
781,ENSG00000105649,HGNC:9777,RAB3A,3,-0.561594552,-530.7943403,0.035
782,ENSG00000119185,HGNC:23927,ITGB1BP1,3,-0.573372338,-3480.739738,0.005235602
783,ENSG00000131773,HGNC:18117,KHDRBS3,3,-0.595461409,-1167.76833,0.015
784,ENSG00000132016,HGNC:28153,BRME1,3,-0.608904852,-527.2610934,0.015
785,ENSG00000105810,HGNC:1777,CDK6,3,-0.673419024,-4269.087482,0.035
786,ENSG00000112773,HGNC:18345,TENT5A,3,-0.678952334,-6352.628226,0.015706806
787,ENSG00000105926,HGNC:18167,PALS2,3,-0.694202546,-1364.45043,0.005
788,ENSG00000117154,HGNC:28246,IGSF21,3,-0.695079314,-1506.911108,0.005154639
789,ENSG00000137726,HGNC:4030,FXYD6,3,-0.702435258,-2324.221205,0.005235602
790,ENSG00000010810,HGNC:4037,FYN,3,-0.748739869,-6072.485427,0.005235602
791,ENSG00000100097,HGNC:6561,LGALS1,3,-0.759348331,-79640.58101,0.005
792,ENSG00000115138,HGNC:9201,POMC,3,-0.77361568,-211.5228843,0.015
793,ENSG00000134460,HGNC:6008,IL2RA,3,-0.823562966,-1122.508157,0.03
794,ENSG00000107281,HGNC:7899,NPDC1,3,-3.354185867,10839.64849,0.005
795,ENSG00000172602,HGNC:18314,RND1,3,-9.142868673,1355.764463,0.005
796,ENSG00000064835,HGNC:9210,POU1F1,2,1590.944299,3.015507525,0.005
797,ENSG00000171303,HGNC:6278,KCNK3,2,515.1237935,516.6690217,0.005154639
798,ENSG00000174827,HGNC:8821,PDZK1,2,337.7231425,1248.818974,0.005235602
799,ENSG00000170091,HGNC:24955,NSG2,2,132.6833861,442.0459254,0.005235602
800,ENSG00000067715,HGNC:11509,SYT1,2,22.05383382,1977.490125,0.005235602
801,ENSG00000078399,HGNC:5109,HOXA9,2,17.10409042,186.91527,0.02
802,ENSG00000184845,HGNC:3020,DRD1,2,14.77769071,33.97157319,0.005235602
803,ENSG00000176884,HGNC:4584,GRIN1,2,12.1903041,213.761794,0.005
804,ENSG00000129048,HGNC:1611,ACKR4,2,11.58497432,113.0502189,0.015
805,ENSG00000137077,HGNC:10620,CCL21,2,9.773520364,725.5592699,0.005235602
806,ENSG00000197837,HGNC:20510,H4-16,2,9.112720415,225.3269124,0.005
807,ENSG00000197747,HGNC:10487,S100A10,2,7.357829807,10393.46889,0.015
808,ENSG00000126351,HGNC:11796,THRA,2,4.558358449,2672.467222,0.005235602
809,ENSG00000109072,HGNC:12724,VTN,2,4.211962979,106.0094006,0.005
810,ENSG00000078900,HGNC:12003,TP73,2,3.473423025,340.712062,0.02
811,ENSG00000131910,HGNC:7961,NR0B2,2,3.375172109,2.792459398,0.005
