"","Ensembl.ID","HGNC.ID","HGNC.symbol","rank","RelEffect","AbsEffect","p"
"70","ENSG00000094631","HGNC:14064","HDAC6",18,0.476877055879283,1059.17786286176,0.005
"71","ENSG00000147162","HGNC:8127","OGT",18,-0.394224004531421,-6080.93858106213,0.0209424083769634
"72","ENSG00000146648","HGNC:3236","EGFR",17,6.01199738400328,4279.45292655688,0.00523560209424084
"73","ENSG00000147255","HGNC:5948","IGSF1",17,4.36987306271033,1519.28466764506,0.00523560209424084
"74","ENSG00000163629","HGNC:9646","PTPN13",17,2.86051791383857,2126.18660625353,0.005
"75","ENSG00000106278","HGNC:9685","PTPRZ1",17,2.68900006762432,210.491149727408,0.0209424083769634
"76","ENSG00000018236","HGNC:2171","CNTN1",17,2.47951592413563,566.871951102498,0.045
"77","ENSG00000169031","HGNC:2204","COL4A3",17,2.37730072100922,50.8734308232354,0.005
"78","ENSG00000174469","HGNC:13830","CNTNAP2",17,1.27211425945157,1129.25807393465,0.005
"79","ENSG00000100393","HGNC:3373","EP300",17,1.22171544624723,4093.09212871248,0.00515463917525773
"80","ENSG00000185008","HGNC:10250","ROBO2",17,0.659072444185947,281.560776911637,0.0404040404040404
"81","ENSG00000102974","HGNC:13723","CTCF",17,0.628822494026775,1733.9748817579,0.005
"82","ENSG00000112282","HGNC:2372","MED23",17,0.390459632501258,1095.50251417952,0.005
"83","ENSG00000153201","HGNC:9848","RANBP2",17,0.299578039379994,2693.06483362308,0.005
"84","ENSG00000101868","HGNC:9173","POLA1",17,0.204077924441561,263.348872266246,0.0206185567010309
"85","ENSG00000197081","HGNC:5467","IGF2R",17,-0.571518872631567,-13446.806630892,0.00515463917525773
"86","ENSG00000170776","HGNC:371","AKAP13",17,-76.2495725670089,8725.71469112113,0.0209424083769634
"87","ENSG00000198932","HGNC:24834","GPRASP1",16,211.617423131181,435.812052245937,0.00523560209424084
"88","ENSG00000077522","HGNC:164","ACTN2",16,3.00834682776427,100.463259540616,0.005
"89","ENSG00000164692","HGNC:2198","COL1A2",16,1.73385327871432,174362.130832047,0.005
"90","ENSG00000089250","HGNC:7872","NOS1",16,1.4562587788786,11.2654523671986,0.005
"91","ENSG00000198753","HGNC:9105","PLXNB3",16,1.02051404320633,752.795813985337,0.0103092783505155
"92","ENSG00000136869","HGNC:11850","TLR4",16,0.933036618550037,475.408668070597,0.005
"93","ENSG00000145675","HGNC:8979","PIK3R1",16,0.718238916147055,3417.80132909232,0.005
"94","ENSG00000141367","HGNC:2092","CLTC",16,0.712618828367913,17864.8262676537,0.005
"95","ENSG00000197694","HGNC:11273","SPTAN1",16,0.584070623327282,8909.81175400432,0.015
"96","ENSG00000114127","HGNC:30654","XRN1",16,0.511337264106507,914.639953905313,0.005
"97","ENSG00000167306","HGNC:7603","MYO5B",16,0.377316827454308,1542.14077043938,0.0209424083769634
"98","ENSG00000139618","HGNC:1101","BRCA2",16,0.293561340964989,212.281335401917,0.03
"99","ENSG00000085511","HGNC:6856","MAP3K4",16,0.227940615239574,358.410611290922,0.031413612565445
"100","ENSG00000263528","HGNC:14552","IKBKE",16,-0.218756413626298,-329.81489395302,0.0471204188481675
"101","ENSG00000111859","HGNC:7733","NEDD9",16,-2.70684086951343,5494.78598920329,0.01
"102","ENSG00000182901","HGNC:10003","RGS7",15,58.9797988811844,41.6012127655155,0.005
"103","ENSG00000112818","HGNC:7015","MEP1A",15,16.9772066210757,6.05056758959255,0.00523560209424084
"104","ENSG00000166501","HGNC:9395","PRKCB",15,6.8637999213021,510.038278231674,0.00523560209424084
"105","ENSG00000075340","HGNC:244","ADD2",15,3.76743692903393,296.113935741935,0.005
"106","ENSG00000164418","HGNC:4580","GRIK2",15,3.02043594636149,55.5789500660372,0.005
"107","ENSG00000116962","HGNC:7821","NID1",15,1.37239724571756,4502.24292572868,0.02
"108","ENSG00000136068","HGNC:3755","FLNB",15,1.1669359029899,24483.0314764206,0.00523560209424084
"109","ENSG00000198286","HGNC:16393","CARD11",15,1.04037723783746,253.476295121818,0.005
"110","ENSG00000137497","HGNC:8059","NUMA1",15,0.788223487385125,9762.74476668232,0.005
"111","ENSG00000127616","HGNC:11100","SMARCA4",15,0.51728279485871,3804.65996939044,0.005
"112","ENSG00000116641","HGNC:19190","DOCK7",15,0.341426929784372,1000.940200184,0.0104712041884817
"113","ENSG00000125351","HGNC:20439","UPF3B",15,-0.357596200560603,-533.598770582145,0.031413612565445
"114","ENSG00000101004","HGNC:29163","NINL",15,-0.637585860888589,-1750.08927885923,0.00515463917525773
"115","ENSG00000114270","HGNC:2214","COL7A1",15,-2.2066728676308,3644.80564878431,0.021978021978022
"116","ENSG00000133124","HGNC:6128","IRS4",14,145.185724452861,117.105058617324,0.00546448087431694
"117","ENSG00000149294","HGNC:7656","NCAM1",14,9.40430688068337,333.948955421454,0.005
