,Ensembl.ID,HGNC.ID,HGNC.symbol,Mut.Freq,RelEffect,AbsEffect,p
511,ENSG00000180370,HGNC:8591,PAK2,6,0.302438729,1944.885968,0.005
512,ENSG00000011451,HGNC:30917,WIZ,6,0.287421565,989.0949669,0.035
513,ENSG00000084463,HGNC:16461,WBP11,6,0.272581719,2276.703142,0.015
514,ENSG00000062725,HGNC:622,APPBP2,6,0.258789205,784.0451278,0.015
515,ENSG00000133961,HGNC:8060,NUMB,6,0.245984946,756.7103955,0.010471204
516,ENSG00000108854,HGNC:16809,SMURF2,6,0.239656332,427.6282817,0.041884817
517,ENSG00000096063,HGNC:11305,SRPK1,6,0.239524992,908.0458875,0.010309278
518,ENSG00000130699,HGNC:11537,TAF4,6,0.218308784,317.1956133,0.015
519,ENSG00000141867,HGNC:13575,BRD4,6,0.205496504,1140.968464,0.01
520,ENSG00000103342,HGNC:4621,GSPT1,6,0.196767762,2264.6844,0.005
521,ENSG00000115216,HGNC:7993,NRBP1,6,0.184814977,1268.253062,0.005181347
522,ENSG00000109458,HGNC:4066,GAB1,6,0.176898985,444.616425,0.01
523,ENSG00000087274,HGNC:243,ADD1,6,0.170851496,1958.981395,0.025
524,ENSG00000055130,HGNC:2551,CUL1,6,0.121783607,542.8074416,0.02
525,ENSG00000143622,HGNC:10023,RIT1,6,-0.19283589,-521.3914359,0.005235602
526,ENSG00000135249,HGNC:21876,RINT1,6,-0.242225291,-360.6717773,0.04
527,ENSG00000157077,HGNC:6775,ZFYVE9,6,-0.24428276,-520.9314452,0.005
528,ENSG00000100991,HGNC:16181,TRPC4AP,6,-0.253452393,-2358.247613,0.015
529,ENSG00000133318,HGNC:10469,RTN3,6,-0.286497269,-5356.538747,0.005
530,ENSG00000006194,HGNC:13056,ZNF263,6,-0.287882615,-1101.215834,0.045
531,ENSG00000204580,HGNC:2730,DDR1,6,-0.29100736,-10283.87675,0.01
532,ENSG00000173480,HGNC:20646,ZNF417,6,-0.315957798,-222.2960385,0.005
533,ENSG00000111276,HGNC:1785,CDKN1B,6,-0.342296771,-3265.240782,0.015228426
534,ENSG00000198911,HGNC:11290,SREBF2,6,-0.35092115,-5211.514014,0.02
535,ENSG00000036672,HGNC:12618,USP2,6,-0.357752104,-126.56166,0.015
536,ENSG00000078043,HGNC:17311,PIAS2,6,-0.389195711,-1033.904042,0.005235602
537,ENSG00000173327,HGNC:6850,MAP3K11,6,-0.393537236,-2970.51985,0.005
538,ENSG00000117676,HGNC:10430,RPS6KA1,6,-0.401842251,-2461.841361,0.03
539,ENSG00000088179,HGNC:9656,PTPN4,6,-0.453349479,-1463.93597,0.015
540,ENSG00000088833,HGNC:15912,NSFL1C,6,-0.476361936,-4622.033288,0.005235602
541,ENSG00000157514,HGNC:3051,TSC22D3,6,-0.516307727,-11346.69274,0.005
542,ENSG00000105048,HGNC:11948,TNNT1,6,-0.52597126,-1901.963055,0.025
543,ENSG00000140009,HGNC:3468,ESR2,6,-0.534846491,-38.50923004,0.015
544,ENSG00000060566,HGNC:18855,CREB3L3,6,-0.778630916,-8.640326261,0.005050505
545,ENSG00000137801,HGNC:11785,THBS1,6,-1.774248731,93520.82544,0.020100503
546,ENSG00000162419,HGNC:4370,GMEB1,6,-6.133935851,1561.035099,0.015544041
547,ENSG00000170485,HGNC:7895,NPAS2,6,-9.340215936,1490.769597,0.005
548,ENSG00000120899,HGNC:9612,PTK2B,6,-14.96718279,2298.558497,0.005
549,ENSG00000121966,HGNC:2561,CXCR4,5,645.5915789,6052.925424,0.005464481
